Move,Link,Pokemon
Earth Power,/attackdex-sm/earthpower.shtml,"['Nidoqueen', 'Nidoking', 'Diglett', 'Dugtrio', 'Slugma', 'Magcargo', 'Corsola', 'Nosepass', 'Numel', 'Camerupt', 'Trapinch', 'Vibrava', 'Flygon', 'Baltoy', 'Claydol', 'Groudon', 'Probopass', 'Dialga', 'Palkia', 'Heatran', 'Giratina', 'Arceus', 'Landorus', 'Sandygast', 'Palossand', 'Barboach', 'Whiscash', 'Turtwig', 'Grotle', 'Torterra', 'Drilbur', 'Excadrill', 'Tympole', 'Palpitoad', 'Seismitoad', 'Archen', 'Archeops', 'Stunfisk', 'Deino', 'Zweilous', 'Hydreigon', 'Sandshrew', 'Sandslash', 'Geodude', 'Graveler', 'Golem', 'Onix', 'Cubone', 'Marowak', 'Rhyhorn', 'Rhydon', 'Omanyte', 'Omastar', 'Kabuto', 'Kabutops', 'Aerodactyl', 'Mew', 'Sudowoodo', 'Sunkern', 'Sunflora', 'Wooper', 'Quagsire', 'Gligar', 'Steelix', 'Shuckle', 'Swinub', 'Piloswine', 'Phanpy', 'Donphan', 'Larvitar', 'Pupitar', 'Tyranitar', 'Lugia', 'Ho-Oh', 'Celebi', 'Mudkip', 'Marshtomp', 'Swampert', 'Aron', 'Lairon', 'Aggron', 'Torkoal', 'Lunatone', 'Solrock', 'Lileep', 'Cradily', 'Anorith', 'Armaldo', 'Relicanth', 'Regirock', 'Rayquaza', 'Cranidos', 'Rampardos', 'Shieldon', 'Bastiodon', 'Shellos', 'Gastrodon', 'Bonsly', 'Gible', 'Gabite', 'Garchomp', 'Hippopotas', 'Hippowdon', 'Rhyperior', 'Gliscor', 'Mamoswine', 'Regigigas', 'Shaymin', 'Roggenrola', 'Boldore', 'Gigalith', 'Sandile', 'Krokorok', 'Krookodile', 'Tirtouga', 'Carracosta', 'Golett', 'Golurk', 'Terrakion', 'Reshiram', 'Zekrom', 'Kyurem', 'Diggersby', 'Barbaracle', 'Tyrunt', 'Tyrantrum', 'Amaura', 'Aurorus', 'Carbink', 'Zygarde', 'Diancie', 'Volcanion', 'Rockruff', 'Lycanroc', 'Mudbray', 'Mudsdale', 'Necrozma']"
Earthquake,/attackdex-sm/earthquake.shtml,"['Sandshrew', 'Sandslash', 'Diglett', 'Dugtrio', 'Geodude', 'Graveler', 'Golem', 'Onix', 'Rhyhorn', 'Rhydon', 'Wooper', 'Quagsire', 'Swinub', 'Piloswine', 'Donphan', 'Larvitar', 'Pupitar', 'Tyranitar', 'Marshtomp', 'Swampert', 'Numel', 'Camerupt', 'Trapinch', 'Vibrava', 'Flygon', 'Barboach', 'Whiscash', 'Groudon', 'Torterra', 'Hippopotas', 'Hippowdon', 'Rhyperior', 'Mamoswine', 'Drilbur', 'Excadrill', 'Sandile', 'Krokorok', 'Krookodile', 'Golett', 'Golurk', 'Landorus', 'Bunnelby', 'Diggersby', 'Gogoat', 'Tyrunt', 'Tyrantrum', 'Zygarde', 'Mudbray', 'Mudsdale', 'Venusaur', 'Charizard', 'Blastoise', 'Ekans', 'Arbok', 'Nidoqueen', 'Nidoking', 'Mankey', 'Primeape', 'Poliwhirl', 'Poliwrath', 'Machop', 'Machoke', 'Machamp', 'Slowpoke', 'Slowbro', 'Exeggutor', 'Cubone', 'Marowak', 'Hitmonlee', 'Hitmonchan', 'Lickitung', 'Chansey', 'Kangaskhan', 'Pinsir', 'Tauros', 'Gyarados', 'Aerodactyl', 'Snorlax', 'Dragonite', 'Mewtwo', 'Mew', 'Meganium', 'Typhlosion', 'Feraligatr', 'Sudowoodo', 'Politoed', 'Slowking', 'Girafarig', 'Pineco', 'Forretress', 'Dunsparce', 'Gligar', 'Steelix', 'Snubbull', 'Granbull', 'Shuckle', 'Heracross', 'Teddiursa', 'Ursaring', 'Magcargo', 'Corsola', 'Mantine', 'Phanpy', 'Stantler', 'Tyrogue', 'Hitmontop', 'Miltank', 'Blissey', 'Lugia', 'Ho-Oh', 'Sceptile', 'Blaziken', 'Vigoroth', 'Slaking', 'Loudred', 'Exploud', 'Makuhita', 'Hariyama', 'Nosepass', 'Aron', 'Lairon', 'Aggron', 'Swalot', 'Sharpedo', 'Wailmer', 'Wailord', 'Torkoal', 'Altaria', 'Seviper', 'Lunatone', 'Solrock', 'Baltoy', 'Claydol', 'Cradily', 'Armaldo', 'Dusclops', 'Tropius', 'Glalie', 'Spheal', 'Sealeo', 'Walrein', 'Relicanth', 'Salamence', 'Metang', 'Metagross', 'Regirock', 'Regice', 'Registeel', 'Latias', 'Latios', 'Kyogre', 'Rayquaza', 'Infernape', 'Empoleon', 'Cranidos', 'Rampardos', 'Shieldon', 'Bastiodon', 'Wormadam', 'Gastrodon', 'Bronzor', 'Bronzong', 'Gible', 'Gabite', 'Garchomp', 'Munchlax', 'Riolu', 'Lucario', 'Drapion', 'Croagunk', 'Toxicroak', 'Mantyke', 'Abomasnow', 'Lickilicky', 'Tangrowth', 'Electivire', 'Magmortar', 'Gliscor', 'Gallade', 'Probopass', 'Dusknoir', 'Dialga', 'Palkia', 'Heatran', 'Regigigas', 'Giratina', 'Arceus', 'Emboar', 'Roggenrola', 'Boldore', 'Gigalith', 'Conkeldurr', 'Seismitoad', 'Throh', 'Sawk', 'Scolipede', 'Darmanitan', 'Dwebble', 'Crustle', 'Tirtouga', 'Carracosta', 'Archen', 'Archeops', 'Haxorus', 'Stunfisk', 'Druddigon', 'Bouffalant', 'Hydreigon', 'Terrakion', 'Chesnaught', 'Pangoro', 'Binacle', 'Barbaracle', 'Aurorus', 'Goodra', 'Trevenant', 'Avalugg', 'Volcanion', 'Incineroar', 'Yungoos', 'Gumshoos', 'Crabrawler', 'Crabominable', 'Wishiwashi', 'Stufful', 'Bewear', 'Oranguru', 'Passimian', 'Sandygast', 'Palossand', 'Minior', 'Komala', 'Turtonator', 'Drampa', 'Dhelmise', 'Jangmo-o', 'Hakamo-o', 'Kommo-o', 'Solgaleo', 'Buzzwole', 'Celesteela', 'Guzzlord', 'Necrozma', 'Stakataka', 'Melmetal']"
Echoed Voice,/attackdex-sm/echoedvoice.shtml,"['Hoothoot', 'Noctowl', 'Whismur', 'Loudred', 'Exploud', 'Chatot', 'Tympole', 'Palpitoad', 'Seismitoad', 'Minccino', 'Meloetta', 'Litleo', 'Pyroar', 'Spritzee', 'Aromatisse', 'Pikipek', 'Trumbeak', 'Toucannon', 'Drampa', 'Bulbasaur', 'Ivysaur', 'Venusaur', 'Charmander', 'Charmeleon', 'Charizard', 'Spearow', 'Fearow', 'Pikachu', 'Raichu', 'Nidoran♀', 'Nidorina', 'Nidoqueen', 'Nidoran♂', 'Nidorino', 'Nidoking', 'Clefairy', 'Clefable', 'Jigglypuff', 'Wigglytuff', 'Diglett', 'Dugtrio', 'Meowth', 'Persian', 'Golem', 'Ponyta', 'Rapidash', 'Slowpoke', 'Slowbro', 'Doduo', 'Dodrio', 'Seel', 'Dewgong', 'Cubone', 'Marowak', 'Chansey', 'Jynx', 'Lapras', 'Eevee', 'Vaporeon', 'Jolteon', 'Flareon', 'Mew', 'Chikorita', 'Bayleef', 'Meganium', 'Sentret', 'Furret', 'Pichu', 'Cleffa', 'Igglybuff', 'Togepi', 'Togetic', 'Mareep', 'Flaaffy', 'Ampharos', 'Politoed', 'Espeon', 'Umbreon', 'Slowking', 'Misdreavus', 'Girafarig', 'Phanpy', 'Donphan', 'Smoochum', 'Miltank', 'Blissey', 'Lugia', 'Ho-Oh', 'Celebi', 'Torchic', 'Combusken', 'Blaziken', 'Mudkip', 'Marshtomp', 'Swampert', 'Zigzagoon', 'Linoone', 'Lotad', 'Lombre', 'Ludicolo', 'Taillow', 'Swellow', 'Wingull', 'Pelipper', 'Ralts', 'Kirlia', 'Gardevoir', 'Skitty', 'Delcatty', 'Plusle', 'Minun', 'Wailmer', 'Wailord', 'Numel', 'Camerupt', 'Swablu', 'Altaria', 'Chimecho', 'Absol', 'Spheal', 'Sealeo', 'Walrein', 'Rayquaza', 'Piplup', 'Prinplup', 'Empoleon', 'Starly', 'Staravia', 'Staraptor', 'Bidoof', 'Bibarel', 'Kricketune', 'Pachirisu', 'Buizel', 'Floatzel', 'Mismagius', 'Glameow', 'Purugly', 'Chingling', 'Happiny', 'Togekiss', 'Leafeon', 'Glaceon', 'Gallade', 'Dialga', 'Palkia', 'Giratina', 'Arceus', 'Tepig', 'Pignite', 'Emboar', 'Purrloin', 'Liepard', 'Pidove', 'Tranquill', 'Unfezant', 'Audino', 'Cinccino', 'Deerling', 'Sawsbuck', 'Elgyem', 'Beheeyem', 'Cubchoo', 'Beartic', 'Hydreigon', 'Reshiram', 'Zekrom', 'Kyurem', 'Fennekin', 'Braixen', 'Delphox', 'Froakie', 'Frogadier', 'Greninja', 'Flabébé', 'Floette', 'Florges', 'Pancham', 'Pangoro', 'Furfrou', 'Espurr', 'Meowstic', 'Amaura', 'Aurorus', 'Sylveon', 'Noibat', 'Noivern', 'Xerneas', 'Rowlet', 'Dartrix', 'Decidueye', 'Popplio', 'Brionne', 'Primarina', 'Yungoos', 'Gumshoos', 'Rockruff', 'Lycanroc', 'Comfey', 'Jangmo-o', 'Hakamo-o', 'Kommo-o', 'Tapu Koko', 'Tapu Lele', 'Tapu Bulu', 'Tapu Fini', 'Nihilego', 'Pheromosa', 'Magearna', 'Marshadow', 'Poipole', 'Naganadel', 'Zeraora']"
Eerie Impulse,/attackdex-sm/eerieimpulse.shtml,"['Voltorb', 'Electrode', 'Lanturn', 'Heliolisk', 'Xurkitree', 'Mareep', 'Flaaffy', 'Ampharos', 'Wooper', 'Quagsire', 'Electrike', 'Manectric', 'Shinx', 'Luxio', 'Luxray', 'Stunfisk', 'Dedenne']"
Egg Bomb,/attackdex-sm/eggbomb.shtml,"['Exeggutor', 'Chansey', 'Blissey']"
Electric Terrain,/attackdex-sm/electricterrain.shtml,"['Magneton', 'Manectric', 'Luxray', 'Magnezone', 'Electivire', 'Togedemaru', 'Tapu Koko', 'Xurkitree', 'Pikachu', 'Raichu', 'Pichu', 'Mareep', 'Flaaffy', 'Ampharos', 'Helioptile', 'Heliolisk']"
Electrify,/attackdex-sm/electrify.shtml,"['Helioptile', 'Heliolisk']"
Electro Ball,/attackdex-sm/electroball.shtml,"['Pikachu', 'Magnemite', 'Magneton', 'Voltorb', 'Electrode', 'Electabuzz', 'Chinchou', 'Lanturn', 'Mareep', 'Flaaffy', 'Ampharos', 'Elekid', 'Plusle', 'Minun', 'Pachirisu', 'Magnezone', 'Electivire', 'Rotom', 'Emolga', 'Joltik', 'Galvantula', 'Tapu Koko', 'Electrike', 'Manectric']"
Electroweb,/attackdex-sm/electroweb.shtml,"['Joltik', 'Galvantula', 'Spinarak', 'Ariados', 'Grubbin', 'Charjabug', 'Vikavolt', 'Caterpie', 'Metapod', 'Butterfree', 'Weedle', 'Kakuna', 'Beedrill', 'Pikachu', 'Raichu', 'Geodude', 'Graveler', 'Golem', 'Magnemite', 'Magneton', 'Electabuzz', 'Porygon', 'Mew', 'Pichu', 'Mareep', 'Flaaffy', 'Ampharos', 'Porygon2', 'Elekid', 'Wurmple', 'Silcoon', 'Beautifly', 'Cascoon', 'Dustox', 'Plusle', 'Minun', 'Burmy', 'Wormadam', 'Mothim', 'Pachirisu', 'Magnezone', 'Electivire', 'Porygon-Z', 'Rotom', 'Sewaddle', 'Swadloon', 'Leavanny', 'Emolga', 'Stunfisk', 'Thundurus', 'Genesect', 'Spewpa', 'Vivillon', 'Helioptile', 'Heliolisk', 'Dedenne', 'Passimian', 'Togedemaru', 'Tapu Koko', 'Pheromosa', 'Xurkitree', 'Zeraora']"
Embargo,/attackdex-sm/embargo.shtml,"['Houndour', 'Houndoom', 'Poochyena', 'Mightyena', 'Zangoose', 'Lunatone', 'Solrock', 'Shuppet', 'Banette', 'Weavile', 'Porygon-Z', 'Sandile', 'Krokorok', 'Krookodile', 'Zorua', 'Zoroark', 'Gothita', 'Gothorita', 'Gothitelle', 'Pawniard', 'Bisharp', 'Vullaby', 'Mandibuzz', 'Rattata', 'Raticate', 'Meowth', 'Persian', 'Abra', 'Kadabra', 'Alakazam', 'Grimer', 'Muk', 'Gastly', 'Haunter', 'Gengar', 'Mewtwo', 'Mew', 'Murkrow', 'Misdreavus', 'Sneasel', 'Nuzleaf', 'Shiftry', 'Sableye', 'Mawile', 'Cacturne', 'Duskull', 'Dusclops', 'Drifloon', 'Drifblim', 'Mismagius', 'Honchkrow', 'Spiritomb', 'Croagunk', 'Toxicroak', 'Dusknoir', 'Froslass', 'Darkrai', 'Victini', 'Purrloin', 'Liepard', 'Woobat', 'Swoobat', 'Yamask', 'Cofagrigus', 'Solosis', 'Duosion', 'Reuniclus', 'Elgyem', 'Beheeyem', 'Litwick', 'Lampent', 'Chandelure', 'Tornadus', 'Thundurus', 'Meloetta', 'Fennekin', 'Braixen', 'Delphox', 'Pangoro', 'Inkay', 'Malamar', 'Binacle', 'Barbaracle', 'Yveltal', 'Hoopa', 'Incineroar', 'Oricorio', 'Oranguru', 'Palossand', 'Mimikyu', 'Bruxish', 'Dhelmise', 'Necrozma', 'Magearna']"
Ember,/attackdex-sm/ember.shtml,"['Charmander', 'Charmeleon', 'Charizard', 'Vulpix', 'Ninetales', 'Growlithe', 'Arcanine', 'Ponyta', 'Rapidash', 'Magmar', 'Flareon', 'Moltres', 'Cyndaquil', 'Quilava', 'Typhlosion', 'Slugma', 'Magcargo', 'Houndour', 'Houndoom', 'Magby', 'Entei', 'Torchic', 'Combusken', 'Blaziken', 'Numel', 'Camerupt', 'Torkoal', 'Castform', 'Bagon', 'Shelgon', 'Salamence', 'Chimchar', 'Monferno', 'Infernape', 'Magmortar', 'Tepig', 'Pignite', 'Emboar', 'Litwick', 'Lampent', 'Larvesta', 'Volcarona', 'Fennekin', 'Braixen', 'Delphox', 'Fletchinder', 'Talonflame', 'Litleo', 'Pyroar', 'Litten', 'Torracat', 'Incineroar', 'Salandit', 'Salazzle', 'Turtonator', 'Blacephalon']"
Encore,/attackdex-sm/encore.shtml,"['Raichu', 'Clefairy', 'Golduck', 'Primeape', 'Alakazam', 'Machamp', 'Seel', 'Dewgong', 'Mr. Mime', 'Cleffa', 'Togepi', 'Togetic', 'Shuckle', 'Slakoth', 'Vigoroth', 'Slaking', 'Plusle', 'Minun', 'Illumise', 'Gulpin', 'Swalot', 'Wynaut', 'Spheal', 'Sealeo', 'Walrein', 'Mime Jr.', 'Oshawott', 'Dewott', 'Samurott', 'Minccino', 'Emolga', 'Amaura', 'Aurorus', 'Hawlucha', 'Popplio', 'Brionne', 'Primarina', 'Salazzle', 'Pikachu', 'Vulpix', 'Ninetales', 'Psyduck', 'Mankey', 'Poliwag', 'Poliwhirl', 'Poliwrath', 'Abra', 'Kadabra', 'Machop', 'Machoke', 'Bellsprout', 'Weepinbell', 'Victreebel', 'Ledyba', 'Ledian', 'Pichu', 'Politoed', 'Hoppip', 'Skiploom', 'Jumpluff', 'Sunkern', 'Sunflora', 'Wooper', 'Quagsire', 'Ralts', 'Kirlia', 'Gardevoir', 'Azurill', 'Volbeat', 'Spinda', 'Chimchar', 'Monferno', 'Infernape', 'Buneary', 'Lopunny', 'Chatot', 'Gallade', 'Purrloin', 'Liepard', 'Audino', 'Cottonee', 'Whimsicott', 'Petilil', 'Lilligant', 'Darumaka', 'Darmanitan', 'Cubchoo', 'Beartic', 'Shelmet', 'Accelgor', 'Togedemaru']"
Endeavor,/attackdex-sm/endeavor.shtml,"['Beedrill', 'Rattata', 'Raticate', 'Doduo', 'Dodrio', 'Cubone', 'Marowak', 'Sunkern', 'Dunsparce', 'Hitmontop', 'Treecko', 'Mudkip', 'Marshtomp', 'Swampert', 'Taillow', 'Swellow', 'Starly', 'Staravia', 'Staraptor', 'Rampardos', 'Woobat', 'Swoobat', 'Cottonee', 'Archen', 'Archeops', 'Solosis', 'Duosion', 'Reuniclus', 'Kyurem', 'Litleo', 'Pyroar', 'Swirlix', 'Slurpuff', 'Hawlucha', 'Wishiwashi', 'Marshadow', 'Poliwag', 'Poliwhirl', 'Poliwrath', 'Tangela', 'Kangaskhan', 'Politoed', 'Phanpy', 'Donphan', 'Grovyle', 'Sceptile', 'Whismur', 'Loudred', 'Exploud', 'Aron', 'Lairon', 'Aggron', 'Corphish', 'Crawdaunt', 'Tangrowth', 'Tepig', 'Pignite', 'Emboar', 'Axew', 'Fraxure', 'Haxorus', 'Crabrawler', 'Crabominable', 'Clefairy', 'Clefable', 'Jigglypuff', 'Wigglytuff', 'Mankey', 'Primeape', 'Rhyhorn', 'Rhydon', 'Chansey', 'Tauros', 'Mew', 'Cleffa', 'Igglybuff', 'Togepi', 'Togetic', 'Sunflora', 'Swinub', 'Piloswine', 'Corsola', 'Blissey', 'Zangoose', 'Chimchar', 'Monferno', 'Infernape', 'Kricketot', 'Kricketune', 'Cranidos', 'Wormadam', 'Combee', 'Vespiquen', 'Buneary', 'Lopunny', 'Happiny', 'Rhyperior', 'Togekiss', 'Mamoswine', 'Shaymin', 'Patrat', 'Watchog', 'Pansage', 'Simisage', 'Pansear', 'Simisear', 'Panpour', 'Simipour', 'Tympole', 'Palpitoad', 'Seismitoad', 'Venipede', 'Whirlipede', 'Scolipede', 'Whimsicott', 'Basculin', 'Darumaka', 'Darmanitan', 'Maractus', 'Ducklett', 'Swanna', 'Ferroseed', 'Ferrothorn', 'Stunfisk', 'Bouffalant', 'Durant', 'Keldeo', 'Chespin', 'Quilladin', 'Chesnaught', 'Bunnelby', 'Diggersby', 'Vivillon', 'Flabébé', 'Floette', 'Florges', 'Pancham', 'Pangoro', 'Furfrou', 'Spritzee', 'Aromatisse', 'Binacle', 'Barbaracle', 'Xerneas', 'Diancie', 'Litten', 'Torracat', 'Incineroar', 'Yungoos', 'Gumshoos', 'Rockruff', 'Lycanroc', 'Mudbray', 'Mudsdale', 'Bounsweet', 'Steenee', 'Tsareena', 'Passimian', 'Golisopod', 'Minior', 'Komala', 'Turtonator', 'Togedemaru', 'Drampa', 'Kommo-o', 'Solgaleo', 'Buzzwole', 'Zeraora']"
Endure,/attackdex-sm/endure.shtml,"['Hitmonlee', 'Kangaskhan', 'Kabuto', 'Kabutops', 'Moltres', 'Dunsparce', 'Heracross', 'Swinub', 'Piloswine', 'Corsola', 'Phanpy', 'Vigoroth', 'Makuhita', 'Hariyama', 'Meditite', 'Medicham', 'Shieldon', 'Bastiodon', 'Pachirisu', 'Buneary', 'Lopunny', 'Riolu', 'Mamoswine', 'Uxie', 'Victini', 'Throh', 'Sawk', 'Sewaddle', 'Karrablast', 'Cubchoo', 'Beartic', 'Stunfisk', 'Turtonator', 'Buzzwole', 'Bulbasaur', 'Ivysaur', 'Venusaur', 'Pikachu', 'Raichu', 'Sandshrew', 'Sandslash', 'Nidoran♀', 'Nidorina', 'Nidoqueen', 'Nidoran♂', 'Nidorino', 'Nidoking', 'Paras', 'Parasect', 'Diglett', 'Dugtrio', 'Poliwag', 'Poliwhirl', 'Poliwrath', 'Geodude', 'Graveler', 'Golem', 'Krabby', 'Kingler', 'Cubone', 'Marowak', 'Hitmonchan', 'Chansey', 'Scyther', 'Eevee', 'Vaporeon', 'Jolteon', 'Flareon', 'Ledyba', 'Ledian', 'Pichu', 'Sudowoodo', 'Politoed', 'Hoppip', 'Skiploom', 'Jumpluff', 'Sunkern', 'Sunflora', 'Espeon', 'Umbreon', 'Pineco', 'Forretress', 'Scizor', 'Skarmory', 'Tyrogue', 'Hitmontop', 'Miltank', 'Blissey', 'Torchic', 'Combusken', 'Blaziken', 'Surskit', 'Masquerain', 'Nincada', 'Ninjask', 'Shedinja', 'Nosepass', 'Numel', 'Camerupt', 'Torkoal', 'Spoink', 'Grumpig', 'Trapinch', 'Vibrava', 'Flygon', 'Lileep', 'Cradily', 'Clamperl', 'Huntail', 'Gorebyss', 'Bagon', 'Shelgon', 'Salamence', 'Bidoof', 'Bibarel', 'Bonsly', 'Happiny', 'Leafeon', 'Glaceon', 'Probopass', 'Lillipup', 'Herdier', 'Stoutland', 'Blitzle', 'Zebstrika', 'Timburr', 'Gurdurr', 'Conkeldurr', 'Petilil', 'Lilligant', 'Darumaka', 'Darmanitan', 'Dwebble', 'Crustle', 'Yamask', 'Cofagrigus', 'Minccino', 'Cinccino', 'Foongus', 'Amoonguss', 'Alomomola', 'Litwick', 'Lampent', 'Chandelure', 'Axew', 'Fraxure', 'Haxorus', 'Shelmet', 'Accelgor', 'Mienfoo', 'Mienshao', 'Durant', 'Larvesta', 'Volcarona', 'Clauncher', 'Clawitzer', 'Sylveon', 'Goomy', 'Sliggoo', 'Goodra', 'Grubbin', 'Charjabug', 'Vikavolt', 'Stufful', 'Bewear', 'Comfey', 'Pyukumuku']"
Energy Ball,/attackdex-sm/energyball.shtml,"['Treecko', 'Lotad', 'Cacnea', 'Cacturne', 'Lileep', 'Cradily', 'Shaymin', 'Cottonee', 'Petilil', 'Deerling', 'Sawsbuck', 'Swirlix', 'Slurpuff', 'Dhelmise', 'Bulbasaur', 'Ivysaur', 'Venusaur', 'Butterfree', 'Vulpix', 'Ninetales', 'Oddish', 'Gloom', 'Vileplume', 'Paras', 'Parasect', 'Venomoth', 'Abra', 'Kadabra', 'Alakazam', 'Bellsprout', 'Weepinbell', 'Victreebel', 'Gastly', 'Haunter', 'Gengar', 'Exeggcute', 'Exeggutor', 'Tangela', 'Mr. Mime', 'Jynx', 'Mewtwo', 'Mew', 'Chikorita', 'Bayleef', 'Meganium', 'Bellossom', 'Hoppip', 'Skiploom', 'Jumpluff', 'Sunkern', 'Sunflora', 'Girafarig', 'Octillery', 'Stantler', 'Celebi', 'Grovyle', 'Sceptile', 'Beautifly', 'Dustox', 'Lombre', 'Ludicolo', 'Seedot', 'Nuzleaf', 'Shiftry', 'Gardevoir', 'Masquerain', 'Shroomish', 'Breloom', 'Medicham', 'Roselia', 'Grumpig', 'Castform', 'Tropius', 'Chimecho', 'Latias', 'Latios', 'Rayquaza', 'Jirachi', 'Deoxys', 'Turtwig', 'Grotle', 'Torterra', 'Budew', 'Roserade', 'Wormadam', 'Mothim', 'Cherubi', 'Cherrim', 'Mismagius', 'Carnivine', 'Snover', 'Abomasnow', 'Tangrowth', 'Leafeon', 'Uxie', 'Mesprit', 'Azelf', 'Giratina', 'Cresselia', 'Manaphy', 'Arceus', 'Victini', 'Snivy', 'Servine', 'Serperior', 'Pansage', 'Simisage', 'Munna', 'Musharna', 'Woobat', 'Swoobat', 'Sewaddle', 'Swadloon', 'Leavanny', 'Whimsicott', 'Lilligant', 'Maractus', 'Sigilyph', 'Yamask', 'Cofagrigus', 'Gothita', 'Gothorita', 'Gothitelle', 'Solosis', 'Duosion', 'Reuniclus', 'Karrablast', 'Escavalier', 'Foongus', 'Amoonguss', 'Frillish', 'Jellicent', 'Joltik', 'Galvantula', 'Ferroseed', 'Ferrothorn', 'Elgyem', 'Beheeyem', 'Litwick', 'Lampent', 'Chandelure', 'Shelmet', 'Accelgor', 'Durant', 'Virizion', 'Meloetta', 'Genesect', 'Chespin', 'Quilladin', 'Chesnaught', 'Vivillon', 'Flabébé', 'Floette', 'Florges', 'Skiddo', 'Gogoat', 'Espurr', 'Meowstic', 'Spritzee', 'Aromatisse', 'Phantump', 'Trevenant', 'Pumpkaboo', 'Gourgeist', 'Hoopa', 'Rowlet', 'Dartrix', 'Decidueye', 'Primarina', 'Vikavolt', 'Cutiefly', 'Ribombee', 'Fomantis', 'Lurantis', 'Morelull', 'Shiinotic', 'Bounsweet', 'Steenee', 'Tsareena', 'Comfey', 'Oranguru', 'Passimian', 'Sandygast', 'Palossand', 'Drampa', 'Tapu Lele', 'Tapu Bulu', 'Xurkitree', 'Celesteela', 'Magearna']"
Entrainment,/attackdex-sm/entrainment.shtml,"['Plusle', 'Minun', 'Buneary', 'Lopunny', 'Chingling', 'Audino', 'Leavanny', 'Petilil', 'Durant', 'Pancham', 'Pangoro', 'Dedenne', 'Dewpider', 'Araquanid', 'Seel', 'Dewgong', 'Remoraid', 'Octillery', 'Luvdisc', 'Litleo', 'Pyroar', 'Clauncher', 'Clawitzer', 'Hawlucha']"
Eruption,/attackdex-sm/eruption.shtml,"['Cyndaquil', 'Quilava', 'Typhlosion', 'Entei', 'Camerupt', 'Groudon', 'Torkoal']"
Explosion,/attackdex-sm/explosion.shtml,"['Geodude', 'Graveler', 'Golem', 'Voltorb', 'Electrode', 'Koffing', 'Weezing', 'Pineco', 'Forretress', 'Seedot', 'Lunatone', 'Solrock', 'Baltoy', 'Claydol', 'Regirock', 'Regice', 'Registeel', 'Drifloon', 'Drifblim', 'Stunky', 'Skuntank', 'Azelf', 'Roggenrola', 'Boldore', 'Gigalith', 'Trubbish', 'Garbodor', 'Ferroseed', 'Ferrothorn', 'Gourgeist', 'Volcanion', 'Minior', 'Turtonator', 'Magnemite', 'Magneton', 'Grimer', 'Muk', 'Shellder', 'Cloyster', 'Gastly', 'Haunter', 'Gengar', 'Onix', 'Exeggcute', 'Exeggutor', 'Mew', 'Sudowoodo', 'Steelix', 'Qwilfish', 'Magcargo', 'Corsola', 'Nuzleaf', 'Shiftry', 'Nosepass', 'Gulpin', 'Swalot', 'Camerupt', 'Torkoal', 'Glalie', 'Metang', 'Metagross', 'Bronzong', 'Bonsly', 'Magnezone', 'Lickilicky', 'Probopass', 'Heatran', 'Solosis', 'Duosion', 'Reuniclus', 'Vanillite', 'Vanillish', 'Vanilluxe', 'Cryogonal', 'Landorus', 'Genesect', 'Carbink', 'Pumpkaboo', 'Diancie', 'Silvally', 'Celesteela', 'Magearna', 'Blacephalon']"
Extrasensory,/attackdex-sm/extrasensory.shtml,"['Vulpix', 'Exeggcute', 'Hoothoot', 'Noctowl', 'Raikou', 'Entei', 'Suicune', 'Lugia', 'Ho-Oh', 'Nuzleaf', 'Baltoy', 'Claydol', 'Chimecho', 'Bronzor', 'Bronzong', 'Uxie', 'Mesprit', 'Azelf', 'Tornadus', 'Reshiram', 'Landorus', 'Greninja', 'Meowstic', 'Drampa', 'Tapu Lele', 'Ninetales', 'Cyndaquil', 'Quilava', 'Typhlosion', 'Togepi', 'Togetic', 'Stantler', 'Whismur', 'Loudred', 'Exploud', 'Spoink', 'Grumpig', 'Budew', 'Togekiss', 'Darumaka', 'Darmanitan', 'Zorua', 'Zoroark', 'Oranguru']"
Extreme Evoboost,/attackdex-sm/extremeevoboost.shtml,['Eevee']
Extreme Speed,/attackdex-sm/extremespeed.shtml,"['Arcanine', 'Rayquaza', 'Deoxys', 'Lucario', 'Togekiss', 'Arceus', 'Zygarde', 'Dratini', 'Dragonair', 'Dragonite', 'Zigzagoon', 'Linoone']"
